task,threads,size,time,result
task4_fox_mm,4,3000,0.24405800001113676,"[[718.2889288  737.53133092 739.46804673 ... 742.60477931 748.36432121
  749.62648933]
 [711.45117208 742.64820569 738.4622398  ... 759.59251258 743.38518778
  749.15962361]
 [723.6714069  732.87161077 743.63308434 ... 759.52401993 746.57967724
  760.96432398]
 ...
 [718.58569391 738.126887   732.80956063 ... 748.82286    746.77370008
  751.86190231]
 [723.65217743 750.95307612 743.31070538 ... 762.17169671 736.73738017
  749.86424466]
 [738.0285262  759.07843408 757.8532377  ... 768.83717194 755.74315157
  762.15073927]]"
task4_fox_mm,4,6000,1.762211749999551,"[[1481.18499987 1498.0276855  1485.65408142 ... 1484.58400162
  1487.59206186 1493.60106012]
 [1522.73441529 1529.36146244 1524.37870002 ... 1510.7958258
  1511.23531783 1538.55576583]
 [1499.83183649 1511.2576283  1509.59818567 ... 1480.29226175
  1489.48364139 1495.479849  ]
 ...
 [1472.40414993 1499.25781352 1481.03094727 ... 1468.05839138
  1464.40739341 1497.75432442]
 [1497.534086   1506.9839724  1505.2012672  ... 1487.01355297
  1480.59981558 1513.39866821]
 [1479.73683666 1489.68958449 1503.08507193 ... 1469.75778745
  1478.42246254 1505.79675568]]"
task4_fox_mm,4,9000,8.757581500016386,"[[2240.06615506 2222.69353623 2233.19094139 ... 2231.93117336
  2220.49478963 2244.3423221 ]
 [2247.56353338 2245.31639765 2253.39487581 ... 2276.38795486
  2256.24494804 2263.74258109]
 [2228.04980674 2219.56606193 2233.76257717 ... 2236.31092154
  2232.51057848 2244.33997855]
 ...
 [2241.78944844 2223.00880708 2242.84766732 ... 2249.58210306
  2235.29187241 2251.19558457]
 [2251.83868063 2217.74655    2245.02757667 ... 2240.53274002
  2245.2229332  2262.33833763]
 [2250.1491795  2245.76739197 2262.92626477 ... 2266.58828173
  2259.34916194 2264.57665618]]"
task4_fox_mm,9,3000,0.32823124999413267,"[[757.39112837 751.57664602 765.41262361 ... 754.24270228 754.08854634
  749.05679968]
 [751.01800712 750.4547153  771.06199587 ... 746.16912915 749.90210665
  744.63703437]
 [752.61801518 742.82387385 764.03272237 ... 743.02414257 743.41776635
  748.4613012 ]
 ...
 [754.34965357 755.5137447  767.99401791 ... 749.61707182 750.56650986
  754.72890069]
 [758.03233944 747.27311827 783.95317635 ... 763.52369286 765.2327996
  761.90404709]
 [762.99860299 765.69127525 782.39933041 ... 765.4971384  765.10083274
  766.21436713]]"
task4_fox_mm,9,6000,1.6305227909761015,"[[1562.36191533 1541.22653906 1527.12739421 ... 1539.72757227
  1517.55104999 1529.53861444]
 [1521.86071722 1509.70215552 1496.52347969 ... 1499.41718028
  1493.72510103 1497.68749973]
 [1527.54358941 1520.30006165 1493.49753317 ... 1481.66845075
  1490.01712211 1510.08331169]
 ...
 [1526.29002577 1531.45651746 1501.10054839 ... 1515.18283627
  1499.9699099  1514.26338659]
 [1529.00123474 1528.28249214 1495.53812233 ... 1517.77072123
  1509.2917917  1511.73921325]
 [1536.76079657 1527.68016023 1499.70290102 ... 1498.90026715
  1494.23371107 1522.02965629]]"
task4_fox_mm,9,9000,9.33781041597831,"[[2257.2732852  2229.96188801 2248.01936382 ... 2270.79275574
  2281.30260703 2259.3890041 ]
 [2255.85550538 2238.28285758 2244.27659919 ... 2258.26509456
  2277.27306778 2234.94673073]
 [2251.52002097 2235.80883102 2234.35626337 ... 2271.35070345
  2271.80666572 2250.34132515]
 ...
 [2282.07702913 2243.38559975 2257.00183981 ... 2292.90471679
  2278.75596894 2284.6764125 ]
 [2250.37575288 2230.23715517 2227.52426212 ... 2280.4932621
  2254.46090289 2242.78986424]
 [2217.48097365 2204.99697877 2209.09769064 ... 2259.3372372
  2250.86484153 2233.43356759]]"
